venta_id,fecha,cliente_id,producto_id,cantidad,precio_unitario,canal
1,2024-08-10,202,171,2,485.2,Tienda Física
2,2025-04-16,960,169,5,474.22,Tienda Física
3,2025-04-16,386,163,4,529.08,Web
4,2024-12-31,449,23,5,138.94,App Móvil
5,2025-01-15,404,130,1,432.28,App Móvil
6,2025-05-11,578,22,4,256.82,Web
7,2024-12-27,474,149,1,429.29,Web
8,2025-02-09,233,175,2,200.96,Web
9,2024-11-10,863,45,2,146.86,App Móvil
10,2025-05-24,630,31,4,379.22,Web
11,2024-08-14,805,81,3,420.77,Web
12,2024-10-01,260,82,1,258.73,Web
13,2024-07-03,948,83,5,157.38,Tienda Física
14,2024-09-24,220,178,1,87.74,Tienda Física
15,2025-04-09,907,160,3,456.94,Tienda Física
16,2024-11-28,721,89,5,151.76,App Móvil
17,2025-04-28,291,189,3,191.29,App Móvil
18,2025-04-30,305,87,4,27.69,App Móvil
19,2025-05-04,716,29,4,509.64,App Móvil
20,2024-11-11,98,196,4,82.43,Tienda Física
21,2025-03-21,630,108,5,194.19,Tienda Física
22,2024-09-29,372,156,4,15.71,Web
23,2025-03-19,953,94,2,457.56,Web
24,2024-11-26,852,76,2,370.83,App Móvil
25,2025-05-22,500,135,3,484.55,App Móvil
26,2025-03-14,453,143,1,158.09,App Móvil
27,2025-02-22,341,160,5,485.15,Tienda Física
28,2024-11-01,765,175,2,187.06,App Móvil
29,2024-12-19,852,68,2,307.31,Tienda Física
30,2024-10-22,627,163,2,425.73,Web
31,2025-04-12,679,61,3,480.43,App Móvil
32,2025-05-19,130,6,2,409.53,Tienda Física
33,2024-11-26,437,74,2,420.49,Tienda Física
34,2024-10-27,288,139,5,36.0,Web
35,2025-01-31,650,189,3,219.52,App Móvil
36,2025-01-24,181,79,4,422.51,Tienda Física
37,2025-02-26,71,172,5,52.77,Web
38,2024-10-21,216,180,1,41.95,Web
39,2024-10-10,499,22,5,255.19,Tienda Física
40,2024-12-12,866,73,3,420.16,Web
41,2025-06-15,423,182,3,328.62,Tienda Física
42,2024-11-05,709,39,4,332.35,Web
43,2024-09-06,707,154,3,303.46,Web
44,2025-04-10,774,136,2,363.05,App Móvil
45,2024-09-14,597,92,4,238.34,Tienda Física
46,2024-08-25,163,83,3,143.53,Web
47,2024-09-14,759,3,5,417.46,App Móvil
48,2024-12-12,547,5,3,377.13,App Móvil
49,2024-08-03,778,104,4,467.75,App Móvil
50,2024-10-12,882,122,5,323.95,Web
51,2025-01-16,678,88,3,297.53,Tienda Física
52,2024-12-01,645,128,2,442.75,Tienda Física
53,2025-06-22,905,59,4,319.21,App Móvil
54,2025-06-01,148,145,1,545.1,Web
55,2025-03-08,365,71,4,396.09,Web
56,2025-03-23,569,26,4,251.18,Web
57,2024-09-26,94,166,1,236.68,App Móvil
58,2024-07-28,209,5,4,370.38,Tienda Física
59,2025-03-11,113,156,2,14.9,App Móvil
60,2024-10-15,340,33,5,459.05,Tienda Física
61,2025-06-27,275,171,5,420.72,App Móvil
62,2025-06-16,411,36,3,461.21,App Móvil
63,2024-12-08,326,97,5,296.64,Web
64,2025-02-20,765,162,2,242.64,Tienda Física
65,2025-02-09,149,144,1,379.12,Tienda Física
66,2025-02-21,401,139,3,30.14,App Móvil
67,2024-07-01,260,95,4,49.14,App Móvil
68,2025-05-12,841,75,1,126.78,Web
69,2025-05-30,206,159,2,117.91,Web
70,2025-03-14,411,106,2,183.87,Tienda Física
71,2024-08-03,503,118,3,243.07,Web
72,2024-12-28,967,64,1,572.86,Tienda Física
73,2024-09-07,190,21,3,343.55,Tienda Física
74,2024-12-22,532,139,1,36.52,App Móvil
75,2024-10-11,217,45,4,151.77,Tienda Física
76,2025-04-23,571,80,2,399.75,App Móvil
77,2025-05-24,407,47,2,487.23,Tienda Física
78,2024-08-30,787,69,4,310.65,Tienda Física
79,2025-04-24,199,32,2,150.05,Tienda Física
80,2025-06-09,815,84,5,367.53,App Móvil
81,2024-10-14,628,5,4,403.31,App Móvil
82,2025-05-04,682,102,1,399.88,App Móvil
83,2025-01-28,181,38,1,547.56,Web
84,2024-11-19,597,173,5,491.06,App Móvil
85,2025-06-03,357,144,4,287.08,Tienda Física
